user_id,Stt,rating,artistID,name,song_title,genre
1,ID_111,3,111,Hoàng Đức Huy,Đường Lặng (206),Bolero
1,ID_420,4,420,Hoàng Ngọc Trang,Hoa Lặng (134),Lo-fi
1,ID_566,4,566,Trần Thị Huy,Trăng Xa (119),Bolero
1,ID_78,3,78,Lê Đức Tâm,Tình Rơi (847),Dance
1,ID_182,3,182,Đặng Thị Phi,Đường Lặng (624),Rap
1,ID_285,4,285,Phan Tuấn Quân,Gió Lạ (208),Lo-fi
1,ID_11,5,11,Nguyễn Văn Hương,Nắng Thương (427),R&B
1,ID_470,4,470,Trương Quang Phi,Nắng Sầu (351),Bolero
1,ID_79,3,79,Nguyễn Khánh Trang,Phố Đau (368),Bolero
1,ID_350,4,350,Trần Đức Cường,Mưa Lặng (329),Pop
1,ID_56,3,56,Đặng Minh Hà,Kỷ Niệm Sầu (223),Indie
1,ID_119,4,119,Phan Văn Đông,Biển Vui (795),Lo-fi
1,ID_110,5,110,Đặng Văn Sơn,Phố Xa (915),Lo-fi
1,ID_589,4,589,Bùi Đức Trang,Biển Xa (130),Bolero
1,ID_370,4,370,Hoàng Anh Tâm,Nắng Lạ (381),Pop
1,ID_235,3,235,Đỗ Tuấn Nam,Phố Buồn (617),Pop
1,ID_31,3,31,Dương Xuân Hà,Đường Lạ (385),Jazz
1,ID_213,3,213,Trần Đức Huy,Nắng Sầu (284),Pop
1,ID_185,4,185,Hoàng Anh Dũng,Giấc Mơ Vui (964),Bolero
1,ID_87,5,87,Bùi Phương Hà,Giấc Mơ Xa (343),Dance
1,ID_3,3,3,Ngô Khánh Phi,Trăng Mơ (590),Ballad
1,ID_588,3,588,Nguyễn Hữu Tuấn,Lời Yêu Nhớ (797),Indie
1,ID_536,4,536,Dương Tuấn Hương,Biển Vui (123),Indie
1,ID_597,3,597,Dương Ngọc Cường,Mây Lặng (516),Rap
1,ID_369,5,369,Phan Anh Đông,Đường Say (817),R&B
1,ID_540,5,540,Đỗ Đức Trang,Nắng Lạ (701),Jazz
1,ID_73,3,73,Vũ Quang Cường,Kỷ Niệm Rơi (625),Jazz
1,ID_136,3,136,Trần Khánh Hương,Kỷ Niệm Lạ (894),Indie
1,ID_557,4,557,Đỗ Minh Sơn,Kỷ Niệm Buồn (484),Indie
1,ID_438,5,438,Lý Anh Hạnh,Tình Xa (595),Pop
1,ID_596,5,596,Lê Văn Lan,Tình Sầu (949),Rap
1,ID_164,3,164,Lê Khánh Nam,Phố Quên (381),Indie
1,ID_83,4,83,Bùi Hữu Cường,Đường Buồn (603),Pop
1,ID_258,5,258,Phạm Phương Cường,Gió Xa (496),R&B
1,ID_193,5,193,Đỗ Ngọc Linh,Mưa Sầu (392),Ballad
1,ID_454,4,454,Đặng Văn Huy,Đường Đau (883),R&B
1,ID_133,4,133,Đặng Bảo Hương,Đường Say (991),R&B
1,ID_516,5,516,Nguyễn Văn Lan,Nắng Buồn (714),Ballad
1,ID_442,5,442,Dương Minh Sơn,Gió Quên (622),Rap
1,ID_276,4,276,Phạm Bảo Dũng,Giấc Mơ Lạ (734),Rock
2,ID_102,4,102,Trần Khánh Trang,Kỷ Niệm Sầu (176),Rock
2,ID_504,3,504,Hoàng Bảo Phi,Phố Sầu (596),Rap
2,ID_307,5,307,Đặng Minh Đông,Hoa Rơi (764),Rock
2,ID_110,5,110,Đặng Văn Sơn,Phố Xa (915),Lo-fi
2,ID_144,4,144,Đỗ Tuấn Phi,Trăng Vui (542),Rock
2,ID_510,5,510,Phạm Đức Phúc,Hoa Buồn (622),Jazz
2,ID_230,3,230,Phạm Quang Phúc,Đường Sầu (245),Ballad
2,ID_50,3,50,Trương Minh Huy,Kỷ Niệm Rơi (868),Bolero
2,ID_480,3,480,Ngô Ngọc Phi,Trăng Quên (681),Rap
2,ID_283,5,283,Lê Xuân Mai,Biển Lạ (696),Ballad
2,ID_411,5,411,Đỗ Tuấn Tâm,Nắng Đau (792),Rap
2,ID_357,5,357,Trương Bảo Quân,Gió Lặng (166),Rap
2,ID_156,5,156,Phạm Phương Nam,Trăng Lặng (798),Rap
2,ID_370,5,370,Hoàng Anh Tâm,Nắng Lạ (381),Pop
2,ID_128,3,128,Vũ Tuấn Dũng,Biển Đau (601),Lo-fi
2,ID_79,4,79,Nguyễn Khánh Trang,Phố Đau (368),Bolero
2,ID_269,3,269,Nguyễn Xuân Dũng,Biển Buồn (563),Dance
2,ID_208,5,208,Hoàng Xuân Cường,Mưa Lạ (389),Indie
2,ID_538,3,538,Ngô Ngọc Trang,Hoa Lạ (520),Jazz
2,ID_278,5,278,Trương Anh Huy,Giấc Mơ Đau (263),Rap
2,ID_129,5,129,Hồ Ngọc Hà,Đường Sầu (156),Indie
2,ID_18,3,18,Lý Quang Nam,Hoa Buồn (108),Pop
2,ID_509,5,509,Dương Quang Mai,Mưa Thương (660),Indie
2,ID_365,4,365,Lý Phương Phúc,Kỷ Niệm Say (488),Indie
2,ID_16,5,16,Phạm Quang Hương,Hoa Lạ (466),Jazz
2,ID_433,4,433,Lý Ngọc Lan,Tình Quên (245),Indie
2,ID_175,4,175,Trương Hữu Linh,Lời Yêu Rơi (491),Jazz
2,ID_186,5,186,Bùi Bảo Cường,Lời Yêu Vui (142),R&B
2,ID_582,3,582,Dương Tuấn Huy,Hoa Quên (523),Rap
2,ID_430,4,430,Vũ Khánh Trang,Phố Lạ (426),R&B
2,ID_19,3,19,Hồ Khánh Dũng,Biển Lạ (288),Pop
2,ID_378,4,378,Trần Phương Phúc,Gió Lặng (317),R&B
2,ID_272,5,272,Hoàng Tuấn Tâm,Mây Rơi (247),Dance
2,ID_452,5,452,Phạm Bảo Cường,Gió Lạ (710),R&B
2,ID_193,4,193,Đỗ Ngọc Linh,Mưa Sầu (392),Ballad
2,ID_88,5,88,Phạm Thị Hạnh,Hoa Rơi (711),Rock
2,ID_423,4,423,Phan Khánh Mai,Mưa Lặng (713),Pop
2,ID_45,5,45,Phạm Thị Huy,Trăng Mơ (496),Dance
2,ID_442,3,442,Dương Minh Sơn,Gió Quên (622),Rap
2,ID_578,5,578,Ngô Thị Quân,Lời Yêu Vui (260),Bolero
