user_id,Stt,rating,artistID,name,song_title,genre
1,ID_309,4,309,Hoàng Anh Phi,Lời Yêu Say (291),R&B
1,ID_426,4,426,Bùi Ngọc Lan,Tình Sầu (533),R&B
1,ID_501,3,501,Phan Đức Linh,Phố Thương (171),Bolero
1,ID_371,5,371,Hoàng Xuân Hà,Hoa Thương (427),Rap
1,ID_282,3,282,Trần Văn Hạnh,Giấc Mơ Mơ (101),R&B
1,ID_268,3,268,Lê Quang Tuấn,Hoa Nhớ (861),Dance
1,ID_67,4,67,Lý Đức Huy,Đường Đau (814),R&B
1,ID_39,4,39,Trần Đức Mai,Mưa Say (265),Bolero
1,ID_588,3,588,Vũ Xuân Cường,Gió Nhớ (552),Ballad
1,ID_28,3,28,Hồ Ngọc Phúc,Phố Quên (884),Rap
1,ID_238,5,238,Dương Ngọc Đông,Biển Xa (843),Lo-fi
1,ID_255,3,255,Phan Phương Tâm,Mưa Thương (368),Pop
1,ID_520,4,520,Đặng Tuấn Dũng,Đường Nhớ (330),Rock
1,ID_270,5,270,Nguyễn Ngọc Quân,Nắng Thương (728),Pop
1,ID_12,4,12,Lê Ngọc Dũng,Gió Xa (928),Rap
1,ID_413,4,413,Trần Văn Sơn,Mây Lạ (845),Lo-fi
1,ID_6,5,6,Trương Ngọc Trang,Lời Yêu Thương (186),Rock
1,ID_474,5,474,Đỗ Hữu Đông,Đường Nhớ (882),Rap
1,ID_459,3,459,Ngô Anh Phúc,Trăng Sầu (382),Bolero
1,ID_599,4,599,Lý Bảo Hạnh,Mây Đau (513),Ballad
1,ID_80,4,80,Đỗ Đức Dũng,Tình Quên (801),Rock
1,ID_230,4,230,Vũ Thị Hà,Phố Lặng (381),Pop
1,ID_303,4,303,Ngô Hữu Mai,Đường Vui (820),Bolero
1,ID_143,5,143,Lý Minh Lan,Giấc Mơ Đau (316),Ballad
1,ID_135,5,135,Vũ Minh Phi,Giấc Mơ Vui (831),Lo-fi
1,ID_225,3,225,Dương Anh Huy,Giấc Mơ Buồn (699),Rap
1,ID_469,5,469,Đặng Tuấn Trang,Gió Lạ (608),Rock
1,ID_591,3,591,Nguyễn Anh Huy,Kỷ Niệm Say (927),Pop
1,ID_157,3,157,Trương Anh Tâm,Tình Lặng (867),Jazz
1,ID_139,5,139,Ngô Anh Cường,Nắng Xa (944),Bolero
1,ID_418,3,418,Lý Phương Đông,Gió Mơ (226),Rap
1,ID_390,4,390,Trần Văn Linh,Mưa Rơi (252),Jazz
1,ID_78,4,78,Ngô Thị Mai,Mây Lạ (614),Indie
1,ID_308,5,308,Vũ Tuấn Huy,Trăng Say (270),Bolero
1,ID_211,3,211,Hoàng Bảo Cường,Mây Lặng (318),Jazz
1,ID_187,4,187,Hoàng Quang Phi,Phố Buồn (638),Rap
1,ID_142,4,142,Lý Anh Quân,Nắng Say (530),Indie
1,ID_253,4,253,Vũ Xuân Tuấn,Tình Buồn (431),Dance
1,ID_202,3,202,Lý Tuấn Tuấn,Hoa Mơ (480),R&B
1,ID_532,5,532,Dương Xuân Nam,Kỷ Niệm Xa (936),Bolero
2,ID_46,3,46,Lê Ngọc Tuấn,Mưa Thương (367),R&B
2,ID_216,3,216,Trương Tuấn Hà,Mưa Thương (549),Bolero
2,ID_176,5,176,Đỗ Tuấn Hà,Kỷ Niệm Say (979),Rock
2,ID_424,4,424,Hồ Hữu Trang,Tình Nhớ (897),Rock
2,ID_426,3,426,Bùi Ngọc Lan,Tình Sầu (533),R&B
2,ID_518,3,518,Bùi Ngọc Mai,Lời Yêu Say (785),Pop
2,ID_93,4,93,Trần Phương Phi,Lời Yêu Nhớ (196),Bolero
2,ID_82,5,82,Phan Đức Dũng,Biển Lặng (299),Jazz
2,ID_98,4,98,Đặng Ngọc Sơn,Lời Yêu Say (803),Indie
2,ID_341,4,341,Phan Hữu Đông,Gió Rơi (554),Bolero
2,ID_146,4,146,Phan Anh Mai,Trăng Xa (711),Pop
2,ID_143,5,143,Lý Minh Lan,Giấc Mơ Đau (316),Ballad
2,ID_149,4,149,Đỗ Thị Mai,Trăng Đau (344),Pop
2,ID_501,3,501,Phan Đức Linh,Phố Thương (171),Bolero
2,ID_133,3,133,Dương Phương Linh,Đường Nhớ (508),Pop
2,ID_361,3,361,Dương Văn Hương,Kỷ Niệm Say (604),Ballad
2,ID_293,4,293,Phan Hữu Phi,Phố Quên (846),Indie
2,ID_4,3,4,Ngô Phương Đông,Lời Yêu Lặng (820),Ballad
2,ID_400,4,400,Hồ Minh Trang,Trăng Vui (353),R&B
